frame,vp_x,vp_y
0,560,1326
1,557,1329
2,572,1319
3,570,1323
4,486,1408
5,511,1385
6,440,1463
7,375,1526
8,410,1506
9,351,1567
10,392,1536
11,432,1495
12,464,1471
13,491,1451
14,516,1422
15,538,1398
16,560,1381
17,566,1372
18,584,1359
19,595,1363
20,584,1358
21,499,1441
22,513,1428
23,528,1408
24,548,1385
25,565,1365
26,567,1356
27,571,1349
28,573,1343
29,573,1339
30,569,1338
31,567,1337
32,565,1344
33,579,1331
34,574,1332
35,587,1321
36,592,1323
37,508,1400
38,518,1393
39,533,1388
40,553,1369
41,559,1360
42,550,1372
43,550,1369
44,568,1353
45,570,1346
46,584,1332
47,589,1336
48,601,1324
49,600,1322
50,601,1318
51,602,1327
52,516,1403
53,525,1391
54,551,1376
55,550,1372
56,555,1362
57,562,1363
58,571,1363
59,487,1443
60,502,1423
61,526,1399
62,539,1383
63,543,1374
64,542,1368
65,561,1352
66,567,1346
67,562,1345
68,578,1334
69,592,1324
70,587,1325
71,600,1315
72,612,1307
73,607,1309
74,602,1310
75,512,1393
76,536,1374
77,457,1451
78,470,1436
79,501,1411
80,513,1396
81,535,1376
82,456,1454
83,389,1523
84,420,1492
85,358,1556
86,404,1512
87,426,1487
88,463,1454
89,495,1424
90,422,1499
91,451,1467
92,468,1446
93,492,1423
94,518,1398
95,441,1472
96,476,1439
97,506,1413
98,530,1390
99,452,1470
100,486,1439
101,514,1411
102,527,1405
103,538,1396
104,545,1383
105,543,1377
106,548,1369
107,565,1371
108,481,1451
109,510,1422
110,517,1410
111,531,1395
112,541,1381
113,545,1378
114,564,1358
115,564,1358
116,561,1357
117,566,1357
118,570,1353
119,542,1382
120,547,1369
121,573,1398
122,605,1418
123,606,1420
124,616,1418
125,619,1417
126,616,1426
127,622,1421
128,645,1443
129,638,1424
130,653,1446
131,676,1465
132,675,1457
133,657,1444
134,653,1452
135,654,1454
136,667,1463
137,678,1487
138,681,1483
139,698,1505
140,698,1497
141,710,1513
142,717,1528
143,734,1532
144,744,1536
145,740,1528
146,741,1527
147,738,1525
148,762,1543
149,751,1544
150,741,1534
151,738,1532
152,738,1440
153,735,1455
154,727,1372
155,700,1293
156,681,1228
157,613,1199
158,653,1275
159,663,1320
160,681,1369
161,698,1415
162,700,1443
163,705,1473
164,708,1391
165,724,1437
166,750,1493
167,741,1406
168,749,1452
169,718,1452
170,727,1496
171,740,1534
172,736,1440
173,705,1349
174,679,1273
175,684,1219
176,689,1173
177,613,1152
178,599,1104
179,604,1184
180,622,1144
181,531,1063
182,531,1030
183,557,1013
184,558,989
185,475,952
186,405,900
187,428,893
188,367,930
189,313,904
190,345,894
191,370,884
192,391,876
193,337,837
194,288,830
195,246,822
196,293,827
197,250,792
198,296,802
199,335,809
200,284,776
201,320,786
202,356,797
203,381,804
204,403,810
205,421,815
206,414,831
207,435,836
208,447,838
209,456,839
210,462,839
211,471,841
212,499,852
213,501,851
214,504,852
215,527,861
216,524,859
217,544,868
218,545,868
219,546,870
220,547,871
221,547,872
222,605,898
223,591,892
224,594,1005
225,580,984
226,577,1077
227,583,1053
228,578,1028
229,573,1006
230,569,991
231,565,975
232,562,962
233,558,950
234,555,940
235,552,931
236,546,921
237,545,916
238,536,908
239,527,1018
240,591,1144
241,577,1102
242,600,1189
243,583,1141
244,566,1099
245,560,1068
246,556,1041
247,576,1029
248,571,1009
249,564,990
250,560,977
251,556,964
252,552,953
253,548,943
254,544,935
255,532,924
256,523,915
257,579,1053
258,565,1026
259,571,1012
260,572,997
261,564,981
262,558,969
263,579,969
264,570,957
265,586,957
